"ID","time","name","weights alpha","weights beta","model A","model B","model C","alpha","beta","mode","use MBW","plus lora","custum name","save setting","use ID"
33,2023.05.04 19.46.15,cartoonish_v1 x 0.25 + revAnimated_v122 x 0.75,,,07f029f6d1,f8bb2922e1,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
34,2023.05.04 19.46.27,cartoonish_v1 x 0.75 + revAnimated_v122 x 0.25,,,07f029f6d1,f8bb2922e1,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
35,2023.05.04 19.46.39,cartoonish_v1 x 0.5 + revAnimated_v122 x 0.5,,,07f029f6d1,f8bb2922e1,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
36,2023.05.04 19.46.50,cartoonish_v1 x 0.25 + revAnimated_v122 x 0.75,,,07f029f6d1,f8bb2922e1,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
37,2023.05.05 10.14.59,cartoonish_v1 x 0.75 + OldFish_2348V12 x 0.25,,,07f029f6d1,bd399ee451,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
38,2023.05.05 10.15.11,cartoonish_v1 x 0.5 + OldFish_2348V12 x 0.5,,,07f029f6d1,bd399ee451,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
39,2023.05.05 10.15.22,cartoonish_v1 x 0.25 + OldFish_2348V12 x 0.75,,,07f029f6d1,bd399ee451,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
40,2023.05.05 10.15.33,cartoonish_v1 x 0.75 + OldFish_2348V12 x 0.25,,,07f029f6d1,bd399ee451,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
41,2023.05.05 10.15.44,cartoonish_v1 x 0.5 + OldFish_2348V12 x 0.5,,,07f029f6d1,bd399ee451,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
42,2023.05.05 10.15.55,cartoonish_v1 x 0.25 + OldFish_2348V12 x 0.75,,,07f029f6d1,bd399ee451,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
43,2023.05.05 10.16.07,cartoonish_v1 x 0.75 + OldFish_2348V12 x 0.25,,,07f029f6d1,bd399ee451,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
44,2023.05.05 10.16.18,cartoonish_v1 x 0.5 + OldFish_2348V12 x 0.5,,,07f029f6d1,bd399ee451,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
45,2023.05.05 10.16.29,cartoonish_v1 x 0.25 + OldFish_2348V12 x 0.75,,,07f029f6d1,bd399ee451,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
46,2023.05.05 10.19.34,cartoonish_v1 x 0.75 + OldFish_2348V12 x 0.25,,,07f029f6d1,bd399ee451,1a189f0be6,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
47,2023.05.05 10.19.45,cartoonish_v1 x 0.5 + OldFish_2348V12 x 0.5,,,07f029f6d1,bd399ee451,1a189f0be6,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
48,2023.05.05 10.19.56,cartoonish_v1 x 0.25 + OldFish_2348V12 x 0.75,,,07f029f6d1,bd399ee451,1a189f0be6,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
49,2023.05.05 10.20.08,cartoonish_v1 x 0.75 + OldFish_2348V12 x 0.25,,,07f029f6d1,bd399ee451,1a189f0be6,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
50,2023.05.05 10.20.19,cartoonish_v1 x 0.5 + OldFish_2348V12 x 0.5,,,07f029f6d1,bd399ee451,1a189f0be6,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
51,2023.05.05 10.20.30,cartoonish_v1 x 0.25 + OldFish_2348V12 x 0.75,,,07f029f6d1,bd399ee451,1a189f0be6,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
52,2023.05.05 10.20.41,cartoonish_v1 x 0.75 + OldFish_2348V12 x 0.25,,,07f029f6d1,bd399ee451,1a189f0be6,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
53,2023.05.05 10.20.52,cartoonish_v1 x 0.5 + OldFish_2348V12 x 0.5,,,07f029f6d1,bd399ee451,1a189f0be6,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
54,2023.05.05 10.21.03,cartoonish_v1 x 0.25 + OldFish_2348V12 x 0.75,,,07f029f6d1,bd399ee451,1a189f0be6,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
